Comet ID	dec. Date	delta T	q	r	log r	OH log Q	NH log Q	CN log Q	C3 log Q	C2 log Q	c-3 phsadj	OHsigup	NHsigup	CNsigup	C3sigup	C2sigup	c-3sigup	OHsigdn	NHsigdn	CNsigdn	C3sigdn	C2sigdn	c-3sigdn	C3/CN•logQ	C2/CN•logQ
GZ          	19850615.31	-83.458	1.028	1.515	0.415415439	28.03	25.3	25.6	24.15	24.88	2.69	0.02	0.09	0.01	0.05	0.03	0.01	-0.02	-0.12	-0.01	-0.06	-0.04	-0.01	-1.45	-0.72
GZ          	19850615.34	-83.427	1.028	1.515	0.415415439	28.02	25.19	25.61	24.09	24.9	2.7	0.02	0.1	0	0.05	0.03	0.01	-0.02	-0.14	0	-0.06	-0.03	-0.01	-1.52	-0.71
GZ          	19850615.43	-83.338	1.028	1.515	0.415415439	NaN    	NaN    	25.6	24.09	24.75	2.75	0	0	0.01	0.07	0.06	0.01	0	0	-0.01	-0.09	-0.07	-0.01	-1.51	-0.85
GZ          	19850616.3	-82.474	1.028	1.506	0.409457129	28.01	25.34	25.59	24.16	24.78	2.7	0.02	0.09	0.01	0.05	0.05	0.01	-0.02	-0.11	-0.01	-0.06	-0.05	-0.01	-1.43	-0.81
GZ          	19850616.37	-82.403	1.028	1.506	0.409457129	28.05	25.26	25.61	24.13	24.85	2.7	0.01	0.09	0	0.05	0.03	0.01	-0.01	-0.11	0	-0.05	-0.04	-0.01	-1.48	-0.76
GZ          	19850616.43	-82.336	1.028	1.506	0.409457129	NaN    	NaN    	25.62	24.13	24.8	2.77	0	0	0.01	0.06	0.05	0.01	0	0	-0.01	-0.07	-0.06	-0.01	-1.49	-0.82
GZ          	19850811.36	-26.408	1.028	1.091	0.087094707	28.55	25.75	25.72	24.35	25.15	3.04	0	0.01	0	0.01	0.01	0	0	-0.01	0	-0.01	-0.01	0	-1.37	-0.57
GZ          	19850811.43	-26.335	1.028	1.091	0.087094707	28.54	25.74	25.72	24.37	25.13	3.03	0	0.01	0	0.01	0.01	0	0	-0.02	0	-0.01	-0.01	0	-1.35	-0.59
GZ          	19850812.37	-25.397	1.028	1.086	0.082501222	28.55	25.7	25.73	24.39	25.09	3.01	0	0.01	0	0.01	0.01	0	0	-0.01	0	-0.01	-0.01	0	-1.34	-0.64
GZ          	19850812.43	-25.338	1.028	1.086	0.082501222	28.54	25.68	25.73	24.41	25.16	2.99	0	0.01	0	0.01	0	0	0	-0.01	0	-0.01	0	0	-1.32	-0.57
