Comet ID	dec. Date	delta T	q	r	log r	OH log Q	NH log Q	CN log Q	C3 log Q	C2 log Q	c-3 phsadj	OHsigup	NHsigup	CNsigup	C3sigup	C2sigup	c-3sigup	OHsigdn	NHsigdn	CNsigdn	C3sigdn	C2sigdn	c-3sigdn	C3/CN•logQ	C2/CN•logQ
CHERNYKH    	19770909.36	-157.95	2.567	2.871	0.45803319	NaN    	NaN    	25.28	NaN    	24.95	3.09	0	0	0.08	0	0.17	0.03	0	0	-0.09	0	-0.28	-0.04	•	-0.33
CHERNYKH    	19771005.22	-132.094	2.567	2.785	0.4448252	NaN    	NaN    	24.94	23.77	24.54	2.73	0	0	0.03	0.07	0.07	0.02	0	0	-0.03	-0.08	-0.08	-0.02	-1.17	-0.4
CHERNYKH    	19771015.25	-122.06	2.567	2.755	0.4401216	NaN    	NaN    	24.98	23.32	24.23	2.99	0	0	0.05	0.22	0.36	0.02	0	0	-0.06	-0.46	0.99	-0.03	-1.66	-0.75
CHERNYKH    	19771015.27	-122.04	2.567	2.755	0.4401216	NaN    	NaN    	25.12	NaN    	24.66	2.98	0	0	0.05	0	0.17	0.02	0	0	-0.06	0	-0.28	-0.03	•	-0.46
CHERNYKH    	19771019.3	-118.014	2.567	2.744	0.43838411	NaN    	NaN    	24.78	NaN    	24.48	2.99	0	0	0.07	0	0.2	0.02	0	0	-0.09	0	-0.38	-0.02	•	-0.3
CHERNYKH    	19771019.3	-118.006	2.567	2.744	0.43838411	NaN    	NaN    	25	NaN    	24.51	2.98	0	0	0.05	0	0.19	0.02	0	0	-0.06	0	-0.34	-0.02	•	-0.49
CHERNYKH    	19771019.31	-117.998	2.567	2.744	0.43838411	NaN    	NaN    	25.04	NaN    	24.56	3	0	0	0.05	0	0.17	0.02	0	0	-0.05	0	-0.29	-0.02	•	-0.48
CHERNYKH    	19771019.35	-117.965	2.567	2.744	0.43838411	NaN    	NaN    	24.91	NaN    	24.24	2.99	0	0	0.06	0	0.31	0.02	0	0	-0.07	0	0.99	-0.02	•	-0.67
CHERNYKH    	19771208.1	-68.207	2.567	2.628	0.41962536	NaN    	NaN    	24.53	NaN    	0	2.84	0	0	0.08	0	0.17	0.02	0	0	-0.1	0	-0.28	-0.02	•	-24.53
CHERNYKH    	19771208.19	-68.124	2.567	2.628	0.41962536	NaN    	NaN    	24.59	NaN    	24.12	2.8	0	0	0.08	0	0.24	0.02	0	0	-0.1	0	-0.61	-0.02	•	-0.47
CHERNYKH    	19771209.1	-67.213	2.567	2.626	0.41929472	NaN    	NaN    	24.69	NaN    	0	2.81	0	0	0.07	0	0.29	0.02	0	0	-0.08	0	-1.15	-0.02	•	-24.69
CHERNYKH    	19771209.15	-67.161	2.567	2.626	0.41929472	NaN    	NaN    	24.86	NaN    	23.58	2.81	0	0	0.05	0	0.56	0.02	0	0	-0.05	0	0.99	-0.02	•	-1.28
CHERNYKH    	19771209.18	-67.128	2.567	2.626	0.41929472	NaN    	NaN    	24.73	NaN    	24.06	2.81	0	0	0.06	0	0.27	0.02	0	0	-0.07	0	-0.9	-0.02	•	-0.67
CHERNYKH    	19771209.19	-67.119	2.567	2.626	0.41929472	NaN    	NaN    	24.77	NaN    	23.77	2.82	0	0	0.06	0	0.43	0.02	0	0	-0.06	0	0.99	-0.02	•	-1
SW2         	19810105.32	-71.146	2.135	2.196	0.34163234	28.05	NaN    	25.04	24.24	24.37	2.91	0.05	0	0.04	0.12	0.25	0.01	-0.06	0	-0.04	-0.16	-0.64	-0.01	-0.8	-0.67
SW2         	19810405.15	18.681	2.135	2.14	0.33041377	27.87	25.12	25.13	0	24.46	2.65	0.07	0.22	0.02	0.33	0.09	0.02	-0.08	-0.49	-0.03	0.99	-0.12	-0.02	-25.13	-0.67
BUS         	19810405.33	-66.887	2.183	2.234	0.34908317	27.5	NaN    	24.48	23.63	23.62	1.63	0.16	0	0.06	0.23	0.32	0.08	-0.25	0	-0.07	-0.51	0.99	-0.1	-0.85	-0.86
BUS         	19810405.36	-66.862	2.183	2.234	0.34908317	27.01	0	24.44	22.89	22.55	1.66	0.35	0.59	0.05	0.25	0.99	0.08	0.99	0.99	-0.06	-0.64	0.99	-0.09	-1.55	-1.89
IRAS        	19830910.3	17.618	1.697	1.707	0.23223352	27.74	23.8	25.06	23.75	24.2	2.59	0.05	0.97	0.02	0.12	0.1	0.01	-0.05	0.99	-0.02	-0.17	-0.13	-0.01	-1.31	-0.86
IRAS        	19831005.36	42.676	1.697	1.759	0.24526584	27.44	25.17	24.93	23.7	23.58	2.4	0.1	0.17	0.02	0.3	0.33	0.03	-0.13	-0.29	-0.02	-1.64	0.99	-0.03	-1.23	-1.35
IRAS        	19831129.18	97.496	1.697	1.994	0.29972515	NaN    	NaN    	24.68	NaN    	23.57	2.21	0	0	0.04	0	0.44	0.05	0	0	-0.05	0	0.99	-0.05	•	-1.11
